ClassNameInvoke,ClassNameOriginal,FunctionName,FormalType,FormalName,ActualType,ActualName,Abbreviation,Expansion
org.pdfsam.support.validation.ContainedIntegerValidator,java.util.Set<Integer>,contains,Object,o,int,parseInt,int,integer
org.pdfsam.InputPdfArgumentsControllerTest,java.util.Arrays,asList,String[],a,String,getAbsolutePath,a,absolute
org.pdfsam.alternatemix.AlternateMixSelectionPane,org.apache.commons.lang3.StringUtils,defaultIfBlank,String,str,String,get,str,string
org.pdfsam.context.DefaultUserContext,org.slf4j.Logger,error,Throwable,arg1,BackingStoreException,e,e,exception
org.pdfsam.community.PdfsamCommunity,org.pdfsam.support.RequireUtils,requireNotBlank,String,arg,String,name,arg,argument
org.pdfsam.PdfsamApp,java.lang.Runtime,exec,String,command,String,getOpenCmd,cmd,command
org.pdfsam.support.CircularLinkedListTest,org.pdfsam.support.CircularLinkedList<Integer>,addAll,Collection<? extends Integer>,c,List<Integer>,asList,c,collection
org.pdfsam.ui.commons.Animations,javafx.animation.Animation,setDelay,Duration,value,Duration,millis,millis,millisecond
org.pdfsam.extract.ExtractOptionsPane,javafx.scene.control.TextInputControl,setText,String,value,String,orElse,or,other
org.pdfsam.alternatemix.AlternateMixSelectionPane,java.lang.Integer,parseInt,String,s,String,step,s,step
org.pdfsam.ui.workarea.QuickbarModuleButtonsProviderTest,java.util.Arrays,asList,Module[],a,DefaultPriorityTestModule,defaultPrio,a,array
org.pdfsam.module.ModuleDescriptorBuilder,org.apache.commons.lang3.StringUtils,isNotBlank,CharSequence,cs,String,name,cs,char sequence
org.pdfsam.ui.io.BrowsableField,javafx.scene.layout.Region,setMaxHeight,double,value,double,USE_PREF_SIZE,pref,preference
org.pdfsam.ui.dialog.OpenWithDialog,javafx.collections.FXCollections,observableArrayList,Collection<? extends String>,col,List<String>,collect,col,collection
org.pdfsam.context.DefaultUserContext,java.util.prefs.Preferences,get,String,def,String,EMPTY,def,definition
org.pdfsam.pdf.PdfDocumentDescriptor,org.pdfsam.pdf.PdfDescriptorLoadingStatus,moveTo,PdfDescriptorLoadingStatus,dest,PdfDescriptorLoadingStatus,destination,dest,destination
org.pdfsam.PdfsamApp,java.lang.System,setProperty,String,key,String,SAMBOX_USE_ASYNC_WRITER,async,asynchronous
org.pdfsam.alternatemix.AlternateMixSelectionPaneTest,org.pdfsam.pdf.PdfLoadRequestEvent,add,PdfDocumentDescriptor,e,PdfDocumentDescriptor,newDescriptorNoPassword,e,entry
org.pdfsam.TestUtils,java.lang.Object,equals,Object,obj,T,eq3,eq,equal
org.pdfsam.support.filter.BaseFileChooserFilterTest,org.pdfsam.support.filter.BaseFileChooserFilter,accept,File,f,File,file,f,file
org.pdfsam.alternatemix.AlternateMixSelection,java.util.function.Consumer<String>,accept,String,t,String,i,i,string
org.pdfsam.ui.info.SummaryTab,java.lang.Integer,toString,int,i,Integer,getValue,i,integer
org.pdfsam.pdf.DefaultSAMBoxLoaderTest,org.mockito.stubbing.OngoingStubbing<PDDocumentInformation>,thenReturn,PDDocumentInformation,value,PDDocumentInformation,info,info,information
org.pdfsam.i18n.DefaultI18nContext,org.xnap.commons.i18n.I18n,tr,Object,o2,String,value1,o,object
org.pdfsam.PdfsamApp,javafx.stage.Stage,setScene,Scene,value,Scene,initScene,init,initialize
org.pdfsam.split.SplitByEveryRadioButton,org.pdfsam.ui.commons.ValidableTextField,setValidator,Validator<String>,validator,Validator<String>,positiveIntRange,int,integer
org.pdfsam.context.DefaultUserContext,java.lang.Boolean,valueOf,String,s,String,getProperty,s,string
org.pdfsam.ui.help.HelpPopupSkin,java.util.List<String>,addAll,Collection<? extends String>,cl,ObservableList<String>,getStyleClass,cl,class
org.pdfsam.TestCycles,org.slf4j.Logger,debug,String,arg0,String,format,arg,argument
org.pdfsam.pdf.PdfDocumentDescriptor,"java.util.Map<String,String>",putAll,"Map<? extends String,? extends String>",m,"Map<String,String>",info,m,map
org.pdfsam.ui.selection.multiple.LongColumnTest,org.mockito.stubbing.OngoingStubbing<Long>,thenReturn,Long,value,long,MAX_VALUE,max,maximum
org.pdfsam.ui.selection.multiple.SelectionTable,java.util.List<SelectionTableRowData>,addAll,Collection<? extends SelectionTableRowData>,c,List<SelectionTableRowData>,collect,c,collection
org.pdfsam.ui.io.BrowsableField,java.util.List<Node>,add,Node,e,ValidableTextField,textField,e,text
org.pdfsam.ui.io.BrowsableDirectoryField,java.util.function.Consumer<DragEvent>,accept,DragEvent,t,DragEvent,e,e,event
org.pdfsam.ui.dashboard.about.AboutDashboardPane,org.apache.commons.io.FileUtils,byteCountToDisplaySize,long,size,long,maxMemory,max,maximum
org.pdfsam.alternatemix.AlternateMixModule,org.pdfsam.module.ModuleDescriptorBuilder,name,String,name,String,n,n,name
org.pdfsam.ui.prefix.PrefixFieldTest,java.lang.String,contains,CharSequence,s,String,getFriendlyName,s,sequence
org.pdfsam.module.ModuleDescriptor,java.util.List<ModuleInputOutputType>,contains,Object,o,ModuleInputOutputType,type,o,object
org.pdfsam.TestUtils,java.lang.Object,equals,Object,obj,NotInstanceOf,NOT_INSTANCE_OF,obj,object
org.pdfsam.configuration.JarSignatureFilterTest,org.pdfsam.configuration.JarSignatureFilter,test,Path,p,Path,toPath,p,path
org.pdfsam.task.BulkRotateTaskTest,org.sejda.core.service.TaskTestContext,directoryOutputTo,SingleOrMultipleOutputTaskParameters,params,BulkRotateParameters,parameters,params,parameters
org.pdfsam.i18n.DefaultI18nContext,java.util.Set<Locale>,contains,Object,only_o,Locale,onlyLanguage,o,object
