ClassNameInvoke,ClassNameOriginal,FunctionName,FormalType,FormalName,ActualType,ActualName,Abbreviation,Expansion
org.apache.batik.util.ClassFile,java.util.jar.JarFile,getInputStream,ZipEntry,ze,ZipEntry,getEntry,ze,zip entry
org.apache.batik.parser.TimingParser,java.util.Calendar,set,int,year,int,y,y,year
org.apache.batik.bridge.SVGTextElementBridge,java.text.AttributedString,addAttribute,Attribute,attribute,TextAttribute,X,x,text
org.apache.batik.ext.awt.MultipleGradientPaintContext,org.apache.batik.ext.awt.image.GraphicsUtil,coerceData,WritableRaster,wr,WritableRaster,raster,wr,writable raster
org.apache.batik.anim.dom.SVGOMAnimatedRect,org.apache.batik.anim.dom.AnimSVGRect,setAnimatedValue,float,w,float,getWidth,w,width
org.apache.batik.anim.AnimationEngine,org.apache.batik.anim.timing.TimedDocumentRoot,convertEpochTime,long,t,long,currentTimeMillis,t,time
org.apache.batik.anim.AnimationEngine,org.apache.batik.anim.dom.AnimationTarget,updateAttributeValue,AnimatableValue,val,AnimatableValue,av,val,value
org.apache.batik.anim.values.AnimatableAngleValue,org.apache.batik.anim.values.AnimatableAngleValue,rad,float,v,float,value,v,value
org.apache.batik.ext.awt.image.rendered.AbstractTiledRed,org.apache.batik.ext.awt.image.GraphicsUtil,copyData_FALLBACK,WritableRaster,dst,WritableRaster,wr,wr,writable raster
org.apache.batik.apps.svgbrowser.Debugger,java.awt.Window,addWindowListener,WindowListener,l,WindowAdapter,wa,wa,window adapter
org.apache.batik.dom.ExtensibleDOMImplementation,java.util.List,add,Object,e,ValueManager,vm,vm,value manager
org.apache.batik.bridge.ViewBox,org.apache.batik.parser.FragmentIdentifierParser,setFragmentIdentifierHandler,FragmentIdentifierHandler,handler,ViewHandler,vh,vh,view handler
org.apache.batik.dom.util.SAXDocumentFactory,org.apache.batik.dom.util.SAXDocumentFactory,getDOMImplementation,String,ver,String,version,ver,version
org.apache.batik.anim.AnimationEngine,org.apache.batik.anim.dom.AnimationTarget,updateAttributeValue,AnimatableValue,val,AnimatableValue,av,val,value
org.apache.batik.anim.dom.AbstractSVGLength,org.apache.batik.parser.UnitProcessor,svgToUserSpace,float,v,float,value,v,value
org.apache.batik.anim.dom.AbstractSVGLength,org.apache.batik.parser.LengthParser,setLengthHandler,LengthHandler,handler,UnitResolver,ur,ur,unit resolver
org.apache.batik.bridge.BridgeContext,org.apache.batik.dom.events.NodeEventTarget,removeEventListenerNS,boolean,useCapture,boolean,uc,uc,use capture
org.apache.batik.bridge.SVGTextElementBridge,org.apache.batik.bridge.SVGUtilities,matchUserAgent,UserAgent,ua,UserAgent,getUserAgent,ua,user agent
org.apache.batik.anim.values.AnimatableAngleValue,org.apache.batik.anim.values.AnimatableAngleValue,rad,short,unit,short,u,u,unit
org.apache.batik.util.gui.xmleditor.XMLView,javax.swing.text.AbstractDocument,getText,Segment,txt,Segment,text,txt,text
org.apache.batik.anim.timing.TimedDocumentRoot,org.apache.batik.util.DoublyIndexedSet,contains,Object,o2,TimingSpecifier,ts,ts,timing specifier
org.apache.batik.anim.dom.SVGOMSVGElement,org.apache.batik.dom.svg.SVGContext,setScreenTransform,AffineTransform,at,AffineTransform,scrnTrans,trans,transform
org.apache.batik.test.DefaultTestSuite,org.apache.batik.test.DefaultTestSuiteReport,addReport,TestReport,report,TestReport,tr,tr,test report
org.apache.batik.bridge.SVGTextElementBridge,org.apache.batik.bridge.SVGTextElementBridge,addPaintAttributes,TextNode,node,TextNode,tn,tn,text node
org.apache.batik.anim.dom.SVGStyleSheetProcessingInstruction,org.apache.batik.css.engine.StyleSheet,setTitle,String,t,String,title,t,title
