ClassNameInvoke,ClassNameOriginal,FunctionName,FormalType,FormalName,ActualType,ActualName,Abbreviation,Expansion
io.bootique.jackson.YearMonthDeserializerIT,org.junit.Assert,assertEquals,Object,actual,YearMonth,ym,ym,year month
io.bootique.BQCoreModule,io.bootique.env.Builder,diVariables,"Map<String,String>",diVariables,"Map<String,String>",diVars,vars,variables
io.bootique.config.jackson.InPlaceMapOverriderTest,org.junit.Assert,assertEquals,long,actual,int,asInt,int,integer
io.bootique.run.DefaultRunnerTest,org.mockito.stubbing.OngoingStubbing<CommandMetadata>,thenReturn,CommandMetadata,arg0,CommandMetadata,md,md,metadata
io.bootique.config.jackson.IndexPathSegment,java.lang.String,charAt,int,index,int,i,i,index
io.bootique.value.PercentTest,io.bootique.value.Percent,equals,Object,obj,Percent,p3,p,percent
io.bootique.value.Percent,java.lang.Double,compare,double,d1,double,percent,d,double
io.bootique.jackson.DateDeserializerIT,java.util.Calendar,setTimeInMillis,long,millis,long,getTime,millis,millisecond
io.bootique.jackson.PeriodDeserializerIT,org.junit.Assert,assertEquals,Object,actual,Period,p,p,period
io.bootique.config.jackson.JsonNodeConfigurationBuilder,"java.util.function.Function<JsonNode,JsonNode>",apply,JsonNode,t,JsonNode,rootNode,t,root
io.bootique.names.ClassToName,java.lang.StringBuilder,append,String,sep,String,partsSeparator,sep,separator
io.bootique.config.jackson.InPlaceLeftHandMerger,io.bootique.config.jackson.InPlaceLeftHandMerger,apply,JsonNode,source,JsonNode,srcChild,src,source
io.bootique.Bootique_Configuration_VarsIT,org.junit.Assert,assertNotNull,Object,object,"Map<String,String>",m,m,map
io.bootique.config.jackson.JsonNodeConfigurationFactoryTest,org.junit.Assert,assertNotNull,Object,object,List<Object>,l,l,list
io.bootique.jackson.deserializer.DecimalUtils,java.lang.StringBuilder,append,CharSequence,s,StringBuilder,nanoSB,sb,string builder
io.bootique.BootiqueIT,org.junit.Assert,assertEquals,Object,actual,String,s2,s,string
io.bootique.jackson.deserializer.DecimalUtils,java.lang.StringBuilder,append,CharSequence,s,StringBuilder,nanoSB,s,sequence
io.bootique.help.DefaultHelpGeneratorTest,java.lang.StringBuilder,append,String,str,String,NEWLINE,str,string
io.bootique.config.jackson.JsonNodeConfigurationFactoryTest,org.junit.Assert,assertNotNull,Object,object,ResourceFactoryHolder,rfh,rfh,resource factory holder
