ClassNameInvoke,ClassNameOriginal,FunctionName,FormalType,FormalName,ActualType,ActualName,Abbreviation,Expansion
com.puppycrawl.tools.checkstyle.checks.coding.VariableDeclarationUsageDistanceCheck,com.puppycrawl.tools.checkstyle.checks.coding.VariableDeclarationUsageDistanceCheck,getDistToVariableUsageInChildNode,DetailAST,varIdent,DetailAST,variableIdentAst,var,variable
com.puppycrawl.tools.checkstyle.api.AbstractCheck,java.util.Collections,addAll,String[],elements,String[],strRep,str,string
com.puppycrawl.tools.checkstyle.gui.MainFrame,javax.swing.text.JTextComponent,setText,String,t,String,getText,t,text
com.puppycrawl.tools.checkstyle.CheckerTest,com.puppycrawl.tools.checkstyle.Checker,addFilter,Filter,filter,DebugFilter,f2,f,filter
com.puppycrawl.tools.checkstyle.checks.metrics.NPathComplexityCheck,java.math.BigInteger,add,BigInteger,val,BigInteger,expressionValue,val,value
com.puppycrawl.tools.checkstyle.utils.CheckUtils,com.puppycrawl.tools.checkstyle.utils.CheckUtils,parseNumber,String,text,String,txt,txt,text
com.puppycrawl.tools.checkstyle.checks.imports.ImportOrderCheckTest,com.puppycrawl.tools.checkstyle.api.DetailAST,initialize,Token,tok,CommonHiddenStreamToken,tokenImportSemi,tok,token
com.puppycrawl.tools.checkstyle.AbstractXmlTestSupport,"java.util.function.BiPredicate<Node,Node>",test,Node,t,Node,expectedChild,t,test
com.puppycrawl.tools.checkstyle.Main,org.apache.commons.cli.CommandLine,hasOption,String,opt,String,OPTION_P_NAME,opt,option
com.puppycrawl.tools.checkstyle.checks.coding.MagicNumberCheck,java.lang.System,arraycopy,Object,src,double[],list,src,source
com.puppycrawl.tools.checkstyle.checks.imports.PkgImportControlTest,org.junit.Assert,assertEquals,Object,expected,PkgImportControl,icCommon,ic,import control
com.puppycrawl.tools.checkstyle.gui.ListToTreeSelectionModelWrapper,javax.swing.tree.DefaultTreeSelectionModel,addSelectionPath,TreePath,path,TreePath,selPath,sel,selection
com.puppycrawl.tools.checkstyle.checks.indentation.IndentComment,java.lang.Integer,parseInt,String,s,String,group,s,string
com.puppycrawl.tools.checkstyle.filters.SuppressionsLoaderTest,com.puppycrawl.tools.checkstyle.api.FilterSet,addFilter,Filter,filter,SuppressElement,se2,se,suppress element
com.puppycrawl.tools.checkstyle.ant.CheckstyleAntTaskTest,java.lang.String,contains,CharSequence,s,String,path1,s,sequence
com.puppycrawl.tools.checkstyle.ant.CheckstyleAntTask,org.apache.tools.ant.types.Path,setRefid,Reference,r,Reference,classpathRef,ref,reference
com.puppycrawl.tools.checkstyle.filters.SuppressionsLoader,org.xml.sax.Attributes,getValue,String,qName,String,ATTRIBUTE_NAME_QUERY,q,query
com.puppycrawl.tools.checkstyle.Checker,java.lang.Throwable,printStackTrace,PrintWriter,s,PrintWriter,pw,pw,print writer
com.puppycrawl.tools.checkstyle.api.DetailASTTest,org.junit.Assert,assertEquals,String,message,String,badPrevMsg,prev,previous
com.puppycrawl.tools.checkstyle.checks.imports.PkgImportControlTest,org.junit.Assert,assertEquals,Object,expected,PkgImportControl,icCommonRegexpChild,ic,import control
com.puppycrawl.tools.checkstyle.checks.javadoc.TagParser,com.puppycrawl.tools.checkstyle.checks.javadoc.TagParser,isCommentTag,Point,pos,Point,position,pos,position
com.puppycrawl.tools.checkstyle.checks.imports.ImportControlCheck,com.puppycrawl.tools.checkstyle.checks.imports.PkgImportControl,locateFinest,String,forPkg,String,packageName,pkg,package
com.puppycrawl.tools.checkstyle.grammars.GeneratedJavaRecognizer,antlr.ASTFactory,create,Token,arg0,Token,t,t,token
