ClassNameInvoke,ClassNameOriginal,FunctionName,FormalType,FormalName,ActualType,ActualName,Abbreviation,Expansion
net.filebot.format.MediaBindingBean,net.filebot.media.VideoFormat,guessFormat,int,width,int,w,w,width
net.filebot.format.MediaBindingBean,java.math.BigDecimal,valueOf,double,val,double,d,val,value
net.filebot.media.Rules,net.filebot.similarity.NameSimilarityMetric,getSimilarity,Object,o2,String,other,o,object
net.filebot.torrent.BDecoder,java.lang.Long,parseLong,String,s,String,str_value,str,string
net.filebot.ui.FileBotListExportHandler,"java.util.function.BiConsumer<T,PrintWriter>",accept,PrintWriter,u,PrintWriter,out,u,out
net.filebot.ui.filter.FilterPanel,net.filebot.ui.transfer.TransferablePolicy,accept,Transferable,tr,Transferable,transferable,tr,transferable
net.filebot.format.MediaBindingBean,net.filebot.web.TMDbClient,getMovieInfo,Movie,movie,Movie,m,m,movie
net.filebot.ui.FileBotListExportHandler,"java.util.function.BiConsumer<T,PrintWriter>",accept,T,t,T,item,t,item
net.filebot.similarity.DateFormatPattern,java.util.regex.Pattern,matcher,CharSequence,input,CharSequence,seq,seq,sequence
net.filebot.similarity.DateMetric,net.filebot.web.SimpleDate,equals,Object,obj,SimpleDate,d2,d,data
net.filebot.MetaAttributeView,java.nio.file.attribute.UserDefinedFileAttributeView,write,ByteBuffer,src,ByteBuffer,encode,src,source
net.filebot.media.Rules,java.util.regex.Pattern,compile,String,regex,String,sn,sn,sequence name
net.filebot.ConsoleFormatter,java.util.regex.Matcher,appendReplacement,StringBuffer,sb,StringBuffer,getBuffer,sb,string buffer
net.filebot.Settings,java.lang.Integer,parseInt,String,s,String,getApplicationProperty,s,string
net.filebot.mediainfo.MediaInfo,net.filebot.mediainfo.MediaInfo,openViaBuffer,RandomAccessFile,f,RandomAccessFile,raf,raf,random access file
net.filebot.util.ui.SwingUI,javax.swing.SwingUtilities,invokeAndWait,Runnable,doRun,Runnable,r,r,runnable
net.filebot.web.AnidbClient,net.filebot.web.LocalSearch<SearchResult>,search,String,q,String,query,q,query
net.filebot.util.PreferencesListTest,net.filebot.util.PreferencesList,map,Preferences,prefs,Preferences,strings,prefs,preferences
net.filebot.mediainfo.MediaInfo,net.filebot.mediainfo.MediaInfoLibrary,Open_Buffer_Init,long,offset,long,gotoPos,pos,position
net.filebot.web.OMDbClient,net.filebot.web.OMDbClient,request,Map<String,Object>,parameters,Map<String,Object>,param,param,parameters
net.filebot.platform.mac.FileChooserAction,java.awt.Rectangle,contains,Point,p,Point,getPoint,p,point
net.filebot.History,javax.xml.bind.Marshaller,marshal,OutputStream,os,OutputStream,output,os,output stream
