ClassNameInvoke,ClassNameOriginal,FunctionName,FormalType,FormalName,ActualType,ActualName,Abbreviation,Expansion
org.apache.maven.project.artifact.DefaultMavenMetadataCacheTest,junit.framework.TestCase,assertNotSame,Object,actual,Artifact,a2,a,artifact
org.apache.maven.artifact.resolver.filter.FilterHashEqualsTest,org.apache.maven.artifact.resolver.filter.IncludesArtifactFilter,equals,Object,obj,IncludesArtifactFilter,f2,f,filter
org.apache.maven.model.merge.MavenModelMerger,org.apache.maven.model.merge.ModelMerger,mergeSite,Site,target,Site,tgt,tgt,target
org.apache.maven.repository.metadata.DefaultGraphConflictResolverTest,org.apache.maven.repository.metadata.MetadataGraph,getIncidentEdges,MetadataGraphVertex,vertex,MetadataGraphVertex,v3,v,vertex
org.apache.maven.artifact.versioning.DefaultArtifactVersion,java.lang.Integer,valueOf,String,s,String,part2,s,string
org.apache.maven.model.interpolation.AbstractModelInterpolatorTest,org.apache.maven.model.BuildBase,addResource,Resource,resource,Resource,res2,res,resource
org.apache.maven.settings.SettingsUtilsTest,org.apache.maven.settings.Profile,setActivation,Activation,activation,Activation,a,a,activation
org.apache.maven.artifact.resolver.DebugResolutionListener,org.codehaus.plexus.logging.Logger,debug,String,arg0,String,msg,msg,message
org.apache.maven.repository.legacy.resolver.DefaultLegacyArtifactCollector,org.apache.maven.artifact.Artifact,setDependencyFilter,ArtifactFilter,artifactFilter,AndArtifactFilter,aaf,aaf,and artifact filter
org.apache.maven.plugin.internal.DefaultLegacySupportTest,org.apache.maven.plugin.internal.DefaultLegacySupport,setSession,MavenSession,session,MavenSession,m1,m,maven
org.apache.maven.lifecycle.internal.LifecycleModuleBuilder,java.lang.Thread,setContextClassLoader,ClassLoader,cl,ClassLoader,getOriginalContextClassLoader,cl,class loader
org.apache.maven.plugin.internal.DefaultMavenPluginManager,java.util.jar.JarFile,getInputStream,ZipEntry,ze,ZipEntry,pluginDescriptorEntry,ze,zip entry
org.apache.maven.project.ModelUtilsTest,org.apache.maven.model.Dependency,setVersion,String,version,String,ver,ver,version
org.apache.maven.lifecycle.internal.builder.multithreaded.ConsolePrinter,java.io.ByteArrayOutputStream,writeTo,OutputStream,out,PrintStream,originalSystemOUtStream,out,output
org.apache.maven.artifact.resolver.DefaultArtifactResolverTest,java.lang.ThreadGroup,enumerate,ThreadGroup[],list,ThreadGroup[],tgList,tg,thread group
org.apache.maven.model.building.ComplexActivationTest,org.apache.maven.model.building.DefaultModelBuildingRequest,setSystemProperties,Properties,systemProperties,Properties,sysProperties,sys,system
org.apache.maven.repository.internal.LocalSnapshotMetadata,"java.util.Map<String,SnapshotVersion>",put,SnapshotVersion,value,SnapshotVersion,sv,sv,snapshot version
org.apache.maven.artifact.DefaultArtifact,org.codehaus.plexus.util.StringUtils,isNotEmpty,String,str,String,classifier,str,string
org.apache.maven.model.merge.ModelMerger,org.apache.maven.model.merge.ModelMerger,mergeRepositoryPolicy,RepositoryPolicy,source,RepositoryPolicy,src,src,source
org.apache.maven.plugin.CacheKey,org.apache.maven.plugin.CacheKey,eq,Set<String>,s1,Set<String>,collect,s,set
org.apache.maven.repository.metadata.DefaultGraphConflictResolver,org.apache.maven.repository.metadata.MetadataGraph,setEntry,MetadataGraphVertex,entry,MetadataGraphVertex,resEntry,res,repository
org.apache.maven.artifact.repository.MavenArtifactRepositoryTest,org.apache.maven.artifact.repository.MavenArtifactRepository,equals,Object,obj,MavenArtifactRepositorySubclass,r2,r,repository
org.apache.maven.toolchain.merge.MavenToolchainMergerTest,org.apache.maven.toolchain.merge.MavenToolchainMerger,merge,PersistedToolchains,dominant,PersistedToolchains,pt,pt,persisted tool
org.apache.maven.cli.MavenCli,java.lang.System,setErr,PrintStream,err,PrintStream,ps,ps,print stream
org.apache.maven.plugin.internal.ValidatingConfigurationListener,"java.util.Map<String,Parameter>",put,Parameter,value,Parameter,param,param,parameter
org.apache.maven.execution.DefaultMavenExecutionRequestPopulatorTest,org.apache.maven.settings.Settings,addProfile,Profile,profile,Profile,p,p,profile
org.apache.maven.project.DefaultMavenProjectBuilderTest,org.apache.maven.project.AbstractMavenProjectTestCase,getProject,File,pom,File,f1,f,file
org.apache.maven.artifact.versioning.ComparableVersionTest,org.apache.maven.artifact.versioning.ComparableVersionTest,newComparable,String,version,String,v1,v,version
org.apache.maven.repository.legacy.resolver.conflict.NewestConflictResolverTest,org.apache.maven.repository.legacy.resolver.conflict.AbstractConflictResolverTest,assertResolveConflict,ResolutionNode,actualNode2,ResolutionNode,a2n,a,actual
org.apache.maven.artifact.versioning.DefaultArtifactVersionTest,java.lang.Object,equals,Object,obj,ArtifactVersion,v2,obj,object
org.apache.maven.artifact.versioning.ComparableVersionTest,java.lang.Comparable,compareTo,Object,o,Comparable,c2,o,object
org.apache.maven.artifact.versioning.DefaultArtifactVersionTest,java.lang.Object,equals,Object,obj,ArtifactVersion,v2,v,version
org.apache.maven.repository.legacy.LegacyRepositorySystem,java.util.Collections,singletonList,ArtifactRepository,o,ArtifactRepository,original,o,original
