ClassNameInvoke,ClassNameOriginal,FunctionName,FormalType,FormalName,ActualType,ActualName,Abbreviation,Expansion
net.sf.portecle.gui.about.DSystemProperties,javax.swing.table.TableColumn,setPreferredWidth,int,preferredWidth,int,w,w,width
net.sf.portecle.crypto.X509Ext,java.lang.StringBuilder,append,String,str,String,sVal,val,value
net.sf.portecle.DImportKeyPair,javax.swing.JList<String>,setListData,Vector<? extends String>,listData,Vector<String>,vKeyPairAliases,v,vector
net.sf.portecle.FPortecle,java.net.URI,create,String,s,String,getString,s,string
net.sf.portecle.FPortecle,javax.swing.JFileChooser,setCurrentDirectory,File,dir,File,fLastDir,f,file
net.sf.portecle.FPortecle,net.sf.portecle.gui.SwingHelper,showAndWait,Window,window,DJarInfo,dJarInfo,info,information
net.sf.portecle.FileChooserFactory,java.util.ArrayList<String>,addAll,Collection<? extends String>,c,Set<String>,getFilenameExtensions,c,collection
net.sf.portecle.crypto.X509CertUtil,java.lang.System,arraycopy,Object,dest,X509Certificate[],tmpCerts,tmp,temporary
net.sf.portecle.crypto.X509Ext,net.sf.portecle.crypto.X509Ext,escapeHtml,Object,source,String,sTM,tm,time
net.sf.portecle.FPortecle,javax.swing.JMenu,add,JMenuItem,menuItem,JMenuItem,m_jmiSaveKeyStoreAs,m,menu
net.sf.portecle.FPortecle,java.util.logging.Logger,log,Throwable,thrown,Throwable,thw,thw,throwable
net.sf.portecle.DViewCertificate,javax.swing.AbstractButton,setMnemonic,int,mnemonic,int,VK_RIGHT,vk,virtual key
net.sf.portecle.DGetHostPort,javax.swing.text.JTextComponent,setText,String,t,String,valueOf,t,text
net.sf.portecle.FileChooserFactory,java.lang.StringBuilder,append,String,str,String,FILELIST_SEPARATOR,str,string
net.sf.portecle.crypto.X509Ext,org.bouncycastle.asn1.ASN1Primitive,equals,Object,arg0,ASN1ObjectIdentifier,netscapeBaseURL,url,uniform resource locator
net.sf.portecle.gui.error.DThrowableDetail,java.lang.StringBuilder,append,Object,obj,StackTraceElement,ste,ste,stack trace element
net.sf.portecle.DGenerateCertificate,javax.swing.JComboBox<SignatureType>,addItem,SignatureType,item,SignatureType,st,st,signature type
net.sf.portecle.crypto.X509CertUtil,java.lang.System,arraycopy,Object,src,X509Certificate[],orderedCerts,src,source
net.sf.portecle.crypto.X509Ext,net.sf.portecle.crypto.X509Ext,getNovellQualityAttr,ASN1Sequence,seq,ASN1Sequence,keyq,seq,sequence
net.sf.portecle.crypto.X509Ext,java.lang.StringBuilder,append,CharSequence,s,StringBuilder,sbClr,sb,string builder
net.sf.portecle.crypto.X509Ext,java.lang.StringBuilder,append,CharSequence,s,StringBuilder,sbHex,s,sequence
net.sf.portecle.FPortecle,javax.net.ssl.SSLContext,init,SecureRandom,arg2,SecureRandom,m_rnd,rnd,random
net.sf.portecle.FPortecle,org.bouncycastle.openssl.jcajce.JcePEMEncryptorBuilder,setSecureRandom,SecureRandom,arg0,SecureRandom,rand,rand,random
net.sf.portecle.FPortecle,net.sf.portecle.crypto.KeyStoreUtil,loadEntries,PasswordFinder,pwFinder,PasswordFinder,passwordFinder,pw,password
net.sf.portecle.DImportKeyPair,net.sf.portecle.crypto.KeyPairUtil,getKeyLength,PublicKey,pubKey,PublicKey,getPublicKey,pub,public
net.sf.portecle.FPortecle,java.security.Security,addProvider,Provider,provider,Provider,bcProv,prov,provider
net.sf.portecle.FPortecle,net.sf.portecle.crypto.X509CertUtil,generatePKCS10CSR,PrivateKey,privateKey,PrivateKey,privKey,priv,private
net.sf.portecle.crypto.X509Ext,org.bouncycastle.asn1.ASN1Primitive,equals,Object,arg0,ASN1ObjectIdentifier,microsoftPrevCaCertHash,prev,previous
net.sf.portecle.crypto.KeyStoreUtil,java.security.KeyStore,setEntry,ProtectionParameter,protParam,PasswordProtection,prot,param,patameter
net.sf.portecle.FPortecle,java.lang.Object,equals,Object,obj,PublicKey,getPublicKey,obj,object
net.sf.portecle.gui.crypto.DProviderInfo,java.lang.String,valueOf,Object,obj,Object,o,o,object
net.sf.portecle.DChoosePkcs11Provider,javax.swing.JOptionPane,showMessageDialog,Object,message,String,msg,msg,message
net.sf.portecle.FPortecle,javax.swing.JMenuBar,add,JMenu,c,JMenuRecentFiles,m_jmrfFile,m,menu
net.sf.portecle.NetUtil,java.io.OutputStream,write,int,len,int,n,len,length
net.sf.portecle.PortecleJDialog,javax.swing.AbstractButton,addActionListener,ActionListener,l,Action,okAction,l,listener
net.sf.portecle.crypto.X509Ext,net.sf.portecle.crypto.X509Ext,convertToHexString,Object,obj,ASN1Integer,derInt,int,integer
net.sf.portecle.DViewCSR,org.bouncycastle.crypto.util.PublicKeyFactory,createKey,SubjectPublicKeyInfo,arg0,SubjectPublicKeyInfo,keyInfo,info,information
net.sf.portecle.DViewCRL,javax.swing.table.TableColumnModel,getColumn,int,columnIndex,int,iCnt,i,index
net.sf.portecle.crypto.X509Ext,java.util.Arrays,copyOfRange,int,to,int,iLen,i,integer
net.sf.portecle.DViewCSR,java.awt.Container,add,Object,constraints,GridBagConstraints,gbc_jlVersion,gbc,grid bag constraints
