ClassNameInvoke,ClassNameOriginal,FunctionName,FormalType,FormalName,ActualType,ActualName,Abbreviation,Expansion
retrofit2.adapter.rxjava.RxJavaCallAdapter,rx.Observable,create,OnSubscribe<>,f,OnSubscribe<>,func,f,function
retrofit2.converter.jaxb.JaxbRequestConverter,okhttp3.RequestBody,create,MediaType,contentType,MediaType,XML,xml,extensible markup language
retrofit2.adapter.rxjava.RecordingSubscriber,"org.assertj.core.api.AbstractAssert<,Boolean>",overridingErrorMessage,Object[],args,Notification<T>,notification,args,arguments
retrofit2.converter.protobuf.Phone,"java.util.Map<FieldDescriptor,Object>",equals,Object,o1,"Map<FieldDescriptor,Object>",getExtensionFields,o,object
retrofit2.Utils,java.lang.Object,equals,Object,obj,Type,b,b,object
retrofit2.Java8,java.lang.invoke.MethodHandle,bindTo,Object,x,Object,object,x,example
retrofit2.CallAdapterTest,retrofit2.Factory,getRawType,Type,type,Type,typeVar,var,variable
retrofit2.converter.moshi.MoshiConverterFactory,java.util.Set<Annotation>,add,Annotation,e,Annotation,annotation,e,entry
retrofit2.converter.gson.GsonConverterFactoryTest,org.assertj.core.api.Assertions,assertThat,String,actual,String,readUtf8,utf,unicode transformation format
retrofit2.RequestBuilderTest,org.assertj.core.api.Assertions,assertThat,HttpUrl,actual,HttpUrl,url,url,uniform resource locator
retrofit2.converter.gson.GsonRequestBodyConverter,com.google.gson.TypeAdapter<T>,write,JsonWriter,arg0,JsonWriter,jsonWriter,json,javaScript object notation
retrofit2.mock.BehaviorDelegateTest,org.assertj.core.api.Assertions,assertThat,long,actual,long,tookMs,ms,millisecond
retrofit2.converter.jaxb.JaxbRequestConverter,javax.xml.bind.Marshaller,marshal,XMLStreamWriter,arg1,XMLStreamWriter,xmlWriter,xml,extensible markup language
retrofit2.adapter.rxjava.CallArbiter,rx.Observer<>,onError,Throwable,arg0,Throwable,t,t,throwable
retrofit2.converter.wire.Phone,java.lang.StringBuilder,append,String,str,String,number,str,string
retrofit2.adapter.rxjava.SingleTest,retrofit2.adapter.rxjava.RecordingSubscriber<String>,assertError,Throwable,throwable,RuntimeException,e,e,exception
retrofit2.converter.jackson.JacksonResponseBodyConverter,com.fasterxml.jackson.databind.ObjectReader,readValue,Reader,src,Reader,charStream,src,source
retrofit2.Builder,"retrofit2.Builder<T,R>",methodError,Object[],args,String,httpMethod,http,hyper text transfer protocol
retrofit2.ParameterizedTypeImpl,java.util.Arrays,hashCode,Object[],a,Type[],typeArguments,a,argument
retrofit2.adapter.rxjava.RxJavaCallAdapterFactoryTest,retrofit2.Factory,get,Type,returnType,Type,sResponseWildcard,s,single
retrofit2.converter.moshi.MoshiResponseBodyConverter,okio.BufferedSource,rangeEquals,ByteString,arg1,ByteString,UTF8_BOM,utf,unicode transformation format
retrofit2.Builder,java.util.Set<String>,contains,Object,o,String,name,o,object
retrofit2.converter.scalars.BooleanResponseBodyConverter,java.lang.Boolean,valueOf,String,s,String,string,s,string
retrofit2.Builder,java.util.List<Factory>,add,Factory,e,Factory,checkNotNull,e,value
retrofit2.RequestBuilderTest,retrofit2.RequestBuilderTest,buildRequest,Object[],args,"Map<String,Object>",params,params,parameters
retrofit2.converter.wire.Phone,com.squareup.wire.internal.Internal,equals,Object,b,ByteString,unknownFields,b,object
retrofit2.adapter.rxjava.RxJavaCallAdapterFactoryTest,retrofit2.Factory,get,Type,returnType,Type,sBodyWildcard,s,single
retrofit2.adapter.rxjava.CompletableWithSchedulerTest,rx.Completable,unsafeSubscribe,Subscriber<String>,s,RecordingSubscriber<String>,subscriber,s,subscriber
retrofit2.RequestBuilder,okhttp3.HttpUrl,newBuilder,String,link,String,relativeUrl,url,uniform resource locator
retrofit2.adapter.rxjava.CallExecuteOnSubscribe,rx.Subscriber<>,add,Subscription,s,CallArbiter<T>,arbiter,s,subscription
retrofit2.ServiceMethod,java.util.regex.Pattern,compile,String,regex,String,PARAM,regex,regular expression
retrofit2.Utils,java.util.Arrays,equals,Object[],a,Type[],getLowerBounds,a,array
retrofit2.RequestBuilderTest,"retrofit2.ServiceMethod<T,Call<T>>",adapt,Call<T>,call,Call<T>,okHttpCall,http,hyper text transfer protocol
retrofit2.RequestBuilder,retrofit2.RequestBuilder,canonicalizeForPath,int,pos,int,i,pos,position
retrofit2.RequestBuilderTest,retrofit2.RequestBuilderTest,buildRequest,Object[],args,"Map<String,String>",queryParams,params,parameters
retrofit2.converter.wire.WireConverterFactory,java.lang.Class<Message>,isAssignableFrom,Class<?>,cls,Class<>,c,c,class
retrofit2.ServiceMethod,java.util.regex.Pattern,compile,String,regex,String,PARAM,param,parameter
retrofit2.adapter.rxjava.RecordingSubscriber,rx.Notification,createOnNext,T,t,T,value,t,type
retrofit2.adapter.rxjava.CallEnqueueOnSubscribe,rx.Subscriber<>,setProducer,Producer,p,CallArbiter<T>,arbiter,p,producer
retrofit2.converter.simplexml.SimpleXmlRequestBodyConverter,org.simpleframework.xml.Serializer,write,Writer,arg1,OutputStreamWriter,osw,osw,output stream writer
retrofit2.adapter.rxjava.RxJavaCallAdapterFactoryTest,retrofit2.Factory,get,Type,returnType,Type,sBodyGeneric,s,single
retrofit2.Utils,java.lang.Class<>,isInstance,Object,obj,Annotation,annotation,obj,object
retrofit2.adapter.rxjava2.Rule,java.util.List<RecordingCompletableObserver>,add,RecordingCompletableObserver,sub,RecordingCompletableObserver,subscriber,sub,subscriber
retrofit2.adapter.rxjava.ObservableWithSchedulerTest,rx.Observable<String>,unsafeSubscribe,Subscriber<? super String>,arg0,RecordingSubscriber<String>,subscriber,arg,argument
retrofit2.Utils,java.util.Arrays,equals,Object[],a,Type[],getActualType,a,actual
